branch	commit
hardware/v0.1-bardo-tx1	f50490e8194f0e5c7aeeba251f2575eb8155ed54
main	0eca048870cf36217e1d8f9dc4f5de30fbe58169
research/v0.1-executable-algebra	58333ce20493ab33b6e433df7389bdfefe2771b6
research/v0.2-logos-tree-benchmark	58dbf365235d03b0e78abe54551546d220f8c0f8
research/v0.3-logos-learning	0b9da9e61eed562797473c8a841902247a2aa946
research/v0.22-resolution-strength	c5511771246d755a1307afde0d9385e20b0d17a4
research/v0.23-recovery-challenge	805d85028226226dbd037325eedc32aed8c58183
research/v0.23-withdrawal-readiness	44ab55acadcec16e853b53d99f8a653834b1f1b8
research/v0.24-matched-recovery	66bf37448ce09fde11313434c40f585f114d18ed
research/v0.24-staged-withdrawal	4ee7166656366c4d3200c5561e6709574a23b886
research/v0.25-factorial-support	4ee7166656366c4d3200c5561e6709574a23b886
research/v0.25-support-factorial	d4805e05288dd071e82f7ec5f17708d09aca1251
research/v0.26-continuous-burden	8d58e871c257bd97ab2e56b5f69c51d83bf521d4
research/v0.26-continuous-missed-work	5e35e8acce632dae9dcfdb3139b13fef566dbe6b
research/v0.27-orthogonal-withdrawal	16a70262107330c17132ac110e4eae94aa6854ed
research/v0.27-phase-local-support	1c514c252369dd493a8e4e06dbf89b4b7372730e
research/v0.28-rate-first-recovery	312567f1281a5579885886047c6bf249fd3f58d6
research/v0.29-readiness-attribution	2e9f099cf9fbd57f10fcbb0fed156e3c999fc279
research/v0.30-active-load-gate	91c3ac87d9d3aa2f1d39e84af73de651741fccac
research/v0.30-load-gated-rate	b282b82d2208ba7df5ccdb5bdf7c9ab935bc5ad5
research/v0.30-load-gated-rate-relaxation	d08bb8c5da32ebd98a24f955dc56c3bfc12e9fa1
research/v0.31-storage-attribution	d802e6e27206d9d9868369270fd11c5e40776fe4
research/v0.32-load-gate-self-lock	abc1a6eee9e8d059df8c8254330e332a64bfb1dc
research/v0.33-backlog-mediated-load-gate	a1f3913cd9b537654289f91b5ecbb09977ef4aae
research/v0.34-readiness-actuator-compatibility	edbcc025993eb1fa4628ab2f15e1e128fb435fa3
research/v0.35-matched-binding-withdrawal	111bd6a606d62ae23ad117593e8b0b4d4a4cb9ca
research/v0.36-partial-rate-dose-response	52e7894688cf47df909ed9c2c01fb899aa7bc1d6
research/v0.37-incremental-rate-weaning	b25e910d3afabc80a3253f716618c3987a30fe40
research/v0.38-repeated-runtime-attribution	015def6e692ba98880894f022c3812bedcb012ae
research/v0.39-cost-mediation	19046e46e88dc604f372f5bf84663ad2fd0096bf
research/v0.40-overflow-decomposition	f7ead8660e7154c386ed5645f69d905ba4eaf1ac
research/v0.41-event-aligned-trajectory	8c5fdbba62f3e2bd20b310d83c687595505a8aa9
research/v0.42-failure-handoff	05ac84dc876038e542ae1825a50b0e28d3bc841a
research/v0.42-same-host-dual-interpreter	db781884d0761e532f886a5c9433a526ced45f56
